Letter,English,Turkish,Probability (English),Probability (Turkish),Information entropy (English),Information entropy (Turkish)
a,8.17%,11.92%,0.0817,0.1192,0.06280786709,0.07781621506
b,1.49%,2.84%,0.0149,0.0284,0.01923677548,0.03104352404
c,2.78%,2.12%,0.0278,0.0212,0.03056987238,0.02507586436
d,4.25%,4.71%,0.0425,0.0471,0.04119757489,0.04417094878
e,12.70%,8.91%,0.127,0.0891,0.08043750619,0.06612555403
f,2.23%,0.46%,0.0223,0.0046,0.02603073875,0.007598244864
g,2.02%,2.38%,0.0202,0.0238,0.02419261281,0.02730614571
h,6.09%,1.21%,0.0609,0.0121,0.05230968271,0.016394865
i,6.97%,13.71%,0.0697,0.1371,0.05698105585,0.08361441233
j,0.25%,0.03%,0.0025,0.0003,0.00459736573,0.0007469141557
k,1.77%,4.68%,0.0177,0.0468,0.02191622424,0.04398138959
l,4.03%,5.92%,0.0403,0.0592,0.03972244899,0.05136390383
m,2.41%,3.75%,0.0241,0.0375,0.02755768462,0.0377914026
n,6.75%,7.49%,0.0675,0.0749,0.055846985,0.05957802101
o,7.51%,3.25%,0.0751,0.0325,0.05967564043,0.03418000123
p,1.93%,0.89%,0.0193,0.0089,0.02338471179,0.01289807258
q,0.10%,0,0.001,0,0.002120181277,0
r,5.99%,6.72%,0.0599,0.0672,0.05175513266,0.05569064955
s,6.33%,4.79%,0.0633,0.0479,0.05362019381,0.04467358272
t,9.06%,3.31%,0.0906,0.0331,0.06677453355,0.03462517049
u,2.76%,5.09%,0.0276,0.0509,0.03041110944,0.04652247689
v,0.98%,0.96%,0.0098,0.0096,0.01391261856,0.01368944241
w,2.36%,0,0.0236,0,0.02713780919,0
x,0.25%,0,0.0025,0,0.00459736573,0
y,1.97%,3.34%,0.0197,0.0334,0.02374533442,0.03484649946
z,0.07%,1.50%,0.0007,0.015,0.001560758282,0.01933508582
,3.89%,3.85%,1.0122,0.9998,0.9020997839,0.8690683865
